split_index,split,recording_id,original_state,source_csv_sha256,label,window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,first_to_last_span_s
10,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,10,38550,38678,14334060491936,14334672954318,186.176733104,186.789195486,0.612462382
11,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,11,38678,38806,14334678558276,14335291036584,186.794799444,187.407277752,0.612478308
12,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,12,38806,38934,14335296651339,14335909072980,187.412892507,188.025314148,0.612421641
13,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,13,38934,39062,14335914668049,14336527079598,188.030909217,188.643320766,0.612411549
14,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,14,39062,39190,14336532667056,14337145502123,188.648908224,189.261743291,0.612835067
15,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,15,39190,39318,14337149190990,14337763080945,189.265432158,189.879322113,0.613889955
16,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,16,39318,39446,14337766759442,14338380149989,189.88300061,190.496391157,0.613390547
17,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,17,39446,39574,14338385838207,14338997741534,190.502079375,191.113982702,0.611903327
18,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,18,39574,39702,14339003342492,14339616185133,191.11958366,191.732426301,0.612842641
19,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,19,39702,39830,14339621744036,14340233907084,191.737985204,192.350148252,0.612163048
20,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,20,39830,39958,14340239505265,14340851977461,192.355746433,192.968218629,0.612472196
21,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,21,39958,40086,14340857577605,14341469653746,192.973818773,193.585894914,0.612076141
22,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,22,40086,40214,14341475248390,14342087212513,193.591489558,194.203453681,0.611964123
23,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,23,40214,40342,14342092810231,14342704406243,194.209051399,194.820647411,0.611596012
24,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,24,40342,40470,14342709944905,14343323054638,194.826186073,195.439295806,0.613109733
25,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,25,40470,40598,14343328590541,14343941564607,195.444831709,196.057805775,0.612974066
26,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,26,40598,40726,14343945200679,14344557662264,196.061441847,196.673903432,0.612461585
27,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,27,40726,40854,14344563227574,14345176072048,196.679468742,197.292313216,0.612844474
28,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,28,40854,40982,14345181605581,14345794211518,197.297846749,197.910452686,0.612605937
29,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,29,40982,41110,14345797986367,14346411211433,197.914227535,198.527452601,0.613225066
30,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,30,41110,41238,14346416747114,14347029686180,198.532988282,199.145927348,0.612939066
31,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,31,41238,41366,14347035248528,14347646757280,199.151489696,199.762998448,0.611508752
32,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,32,41366,41494,14347652365646,14348264378214,199.768606814,200.380619382,0.612012568
33,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,33,41494,41622,14348269974561,14348883784571,200.386215729,201.000025739,0.61381001
34,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,34,41622,41750,14348887472383,14349500938597,201.003713551,201.617179765,0.613466214
35,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,35,41750,41878,14349504623465,14350118718752,201.620864633,202.23495992,0.614095287
36,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,36,41878,42006,14350122404879,14350736328815,202.238646047,202.852569983,0.613923936
37,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,37,42006,42134,14350740012146,14351353796545,202.856253314,203.470037713,0.613784399
38,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,38,42134,42262,14351359400855,14351971824440,203.475642023,204.088065608,0.612423585
39,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,39,42262,42390,14351975508160,14352590182373,204.091749328,204.706423541,0.614674213
40,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,40,42390,42518,14352594076370,14353206692325,204.710317538,205.322933493,0.612615955
41,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,41,42518,42646,14353212290099,14353825311276,205.328531267,205.941552444,0.613021177
42,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,42,42646,42774,14353828995959,14354442716247,205.945237127,206.558957415,0.613720288
43,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,43,42774,42902,14354448379131,14355061257197,206.564620299,207.177498365,0.612878066
44,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,44,42902,43030,14355064962269,14355679114427,207.181203437,207.795355595,0.614152158
45,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,45,43030,43158,14355682825961,14356295355805,207.799067129,208.411596973,0.612529844
46,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,46,43158,43286,14356300944986,14356914494496,208.417186154,209.030735664,0.61354951
47,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,47,43286,43414,14356918178549,14357532295615,209.034419717,209.648536783,0.614117066
48,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,48,43414,43542,14357535975093,14358149739807,209.652216261,210.265980975,0.613764714
49,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,49,43542,43670,14358153417582,14358767735184,210.26965875,210.883976352,0.614317602
50,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,50,43670,43798,14358771419904,14359385332877,210.887661072,211.501574045,0.613912973
51,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,51,43798,43926,14359389058874,14360002476884,211.505300042,212.118718052,0.61341801
52,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,52,43926,44054,14360008061991,14360620268669,212.124303159,212.736509837,0.612206678
53,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,53,44054,44182,14360623989592,14361237283677,212.74023076,213.353524845,0.613294085
54,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,54,44182,44310,14361242864561,14361855611109,213.359105729,213.971852277,0.612746548
55,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,55,44310,44438,14361861208253,14362473276209,213.977449421,214.589517377,0.612067956
56,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,56,44438,44566,14362478916538,14363091295957,214.595157706,215.207537125,0.612379419
57,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,57,44566,44694,14363094981157,14363709506537,215.211222325,215.825747705,0.61452538
58,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,58,44694,44822,14363713194812,14364325550916,215.82943598,216.441792084,0.612356104
59,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,59,44822,44950,14364331134486,14364943537812,216.447375654,217.05977898,0.612403326
60,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,60,44950,45078,14364949129604,14365562529299,217.065370772,217.678770467,0.613399695
61,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,61,45078,45206,14365566213445,14366179370474,217.682454613,218.295611642,0.613157029
62,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,62,45206,45334,14366185036488,14366798101295,218.301277656,218.914342463,0.613064807
63,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,63,45334,45462,14366801742088,14367414590673,218.917983256,219.530831841,0.612848585
64,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,64,45462,45590,14367420189984,14368032677013,219.536431152,220.148918181,0.612487029
65,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,65,45590,45718,14368038279379,14368651371001,220.154520547,220.767612169,0.613091622
66,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,66,45718,45846,14368655099869,14369267396028,220.771341037,221.383637196,0.612296159
67,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,67,45846,45974,14369272978635,14369886707904,221.389219803,222.002949072,0.613729269
68,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,68,45974,46102,14369890346531,14370503544153,222.006587699,222.619785321,0.613197622
69,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,69,46102,46230,14370509094797,14371120433086,222.625335965,223.236674254,0.611338289
70,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,70,46230,46358,14371125984804,14371739208630,223.242225972,223.855449798,0.613223826
71,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,71,46358,46486,14371742846645,14372355814490,223.859087813,224.472055658,0.612967845
72,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,72,46486,46614,14372361347485,14372974687144,224.477588653,225.090928312,0.613339659
73,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,73,46614,46742,14372978324252,14373591373781,225.09456542,225.707614949,0.613049529
74,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,74,46742,46870,14373596907833,14374210798435,225.713149001,226.327039603,0.613890602
75,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,75,46870,46998,14374214434543,14374828472442,226.330675711,226.94471361,0.614037899
76,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,76,46998,47126,14374832155384,14375445735024,226.948396552,227.561976192,0.61357964
77,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,77,47126,47254,14375449432225,14376063607827,227.565673393,228.179848995,0.614175602
78,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,78,47254,47382,14376067297176,14376680532205,228.183538344,228.796773373,0.613235029
79,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,79,47382,47510,14376686121701,14377298857767,228.802362869,229.415098935,0.612736066
80,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,80,47510,47638,14377302593912,14377915851108,229.41883508,230.032092276,0.613257196
81,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,81,47638,47766,14377921389659,14378534384022,230.037630827,230.65062519,0.612994363
82,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,82,47766,47894,14378538018593,14379152190307,230.654259761,231.268431475,0.614171714
83,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,83,47894,48022,14379155844637,14379769365833,231.272085805,231.885607001,0.613521196
84,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,84,48022,48150,14379774898569,14380387342099,231.891139737,232.503583267,0.61244353
85,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,85,48150,48278,14380392907280,14381005591420,232.509148448,233.121832588,0.61268414
86,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,86,48278,48406,14381009229640,14381623679909,233.125470808,233.739921077,0.614450269
87,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,87,48406,48534,14381627315591,14382239955584,233.743556759,234.356196752,0.612639993
88,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,88,48534,48662,14382245494931,14382858532090,234.361736099,234.974773258,0.613037159
89,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,89,48662,48790,14382862217809,14383474979135,234.978458977,235.591220303,0.612761326
90,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,90,48790,48918,14383480646445,14384093215994,235.596887613,236.209457162,0.612569549
91,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,91,48918,49046,14384098809267,14384712108722,236.215050435,236.82834989,0.613299455
92,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,92,49046,49174,14384715860589,14385329892692,236.832101757,237.44613386,0.614032103
93,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,93,49174,49302,14385333529689,14385946292367,237.449770857,238.062533535,0.612762678
94,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,94,49302,49430,14385951829714,14386564502003,238.068070882,238.680743171,0.612672289
95,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,95,49430,49558,14386570062258,14387182936176,238.686303426,239.299177344,0.612873918
96,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,96,49558,49686,14387186570803,14387800932516,239.302811971,239.917173684,0.614361713
97,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,97,49686,49814,14387804606717,14388417607135,239.920847885,240.533848303,0.613000418
98,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,98,49814,49942,14388423192797,14389036258753,240.539433965,241.152499921,0.613065956
99,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,99,49942,50070,14389039904879,14389654287000,241.156146047,241.770528168,0.614382121
100,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,100,50070,50198,14389657920701,14390271208452,241.774161869,242.38744962,0.613287751
101,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,101,50198,50326,14390276807540,14390889677348,242.393048708,243.005918516,0.612869808
102,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,102,50326,50454,14390893371641,14391507176040,243.009612809,243.623417208,0.613804399
103,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,103,50454,50582,14391510872074,14392124259640,243.627113242,244.240500808,0.613387566
104,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,104,50582,50710,14392129845395,14392742604999,244.246086563,244.858846167,0.612759604
105,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,105,50710,50838,14392746286996,14393360030487,244.862528164,245.476271655,0.613743491
106,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,106,50838,50966,14393365657705,14393978188420,245.481898873,246.094429588,0.612530715
107,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,107,50966,51094,14393981873954,14394596138353,246.098115122,246.712379521,0.614264399
108,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,108,51094,51222,14394599821239,14395212771009,246.716062407,247.329012177,0.61294977
109,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,109,51222,51350,14395218365060,14395831219904,247.334606228,247.947461072,0.612854844
110,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,110,51350,51478,14395834909327,14396448954041,247.951150495,248.565195209,0.614044714
111,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,111,51478,51606,14396452737927,14397065991048,248.568979095,249.182232216,0.613253121
112,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,112,51606,51734,14397071585507,14397685009869,249.187826675,249.801251037,0.613424362
113,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,113,51734,51862,14397688699051,14398301751803,249.804940219,250.417992971,0.613052752
114,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,114,51862,51990,14398307453169,14398920099661,250.423694337,251.036340829,0.612646492
115,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,115,51990,52118,14398925694990,14399538728371,251.041936158,251.654969539,0.613033381
116,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,116,52118,52246,14399542402072,14400154770694,251.65864324,252.271011862,0.612368622
117,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,117,52246,52374,14400160362079,14400772632461,252.276603247,252.888873629,0.612270382
118,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,118,52374,52502,14400778226697,14401390391431,252.894467865,253.506632599,0.612164734
119,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,119,52502,52630,14401395982389,14402008376826,253.512223557,254.124617994,0.612394437
120,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,120,52630,52758,14402013966340,14402625981167,254.130207508,254.742222335,0.612014827
