split_index,split,recording_id,original_state,source_csv_sha256,label,window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,first_to_last_span_s,recording,recording_sha256,state,vector_ac_rms_mg
10,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,10,38550,38678,14334060491936,14334672954318,186.176733104,186.789195486,0.612462382,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.472488367168086
11,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,11,38678,38806,14334678558276,14335291036584,186.794799444,187.407277752,0.612478308,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.217122591919566
12,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,12,38806,38934,14335296651339,14335909072980,187.412892507,188.025314148,0.612421641,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,26.62478907607661
13,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,13,38934,39062,14335914668049,14336527079598,188.030909217,188.643320766,0.612411549,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,29.01130652522734
14,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,14,39062,39190,14336532667056,14337145502123,188.648908224,189.261743291,0.612835067,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.219987197711326
15,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,15,39190,39318,14337149190990,14337763080945,189.265432158,189.879322113,0.613889955,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,26.188134398857983
16,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,16,39318,39446,14337766759442,14338380149989,189.88300061,190.496391157,0.613390547,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,26.945109439902296
17,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,17,39446,39574,14338385838207,14338997741534,190.502079375,191.113982702,0.611903327,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.518088805692884
18,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,18,39574,39702,14339003342492,14339616185133,191.11958366,191.732426301,0.612842641,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.842003132902637
19,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,19,39702,39830,14339621744036,14340233907084,191.737985204,192.350148252,0.612163048,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.859069720366957
20,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,20,39830,39958,14340239505265,14340851977461,192.355746433,192.968218629,0.612472196,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.11677981541429
21,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,21,39958,40086,14340857577605,14341469653746,192.973818773,193.585894914,0.612076141,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.066301482886594
22,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,22,40086,40214,14341475248390,14342087212513,193.591489558,194.203453681,0.611964123,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.96530025171275
23,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,23,40214,40342,14342092810231,14342704406243,194.209051399,194.820647411,0.611596012,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.388593063659773
24,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,24,40342,40470,14342709944905,14343323054638,194.826186073,195.439295806,0.613109733,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.506852608102868
25,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,25,40470,40598,14343328590541,14343941564607,195.444831709,196.057805775,0.612974066,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.324031043585347
26,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,26,40598,40726,14343945200679,14344557662264,196.061441847,196.673903432,0.612461585,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,26.998854422605106
27,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,27,40726,40854,14344563227574,14345176072048,196.679468742,197.292313216,0.612844474,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.371609472178466
28,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,28,40854,40982,14345181605581,14345794211518,197.297846749,197.910452686,0.612605937,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,26.66482175635955
29,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,29,40982,41110,14345797986367,14346411211433,197.914227535,198.527452601,0.613225066,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,29.289788661076674
30,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,30,41110,41238,14346416747114,14347029686180,198.532988282,199.145927348,0.612939066,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,26.185723642911903
31,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,31,41238,41366,14347035248528,14347646757280,199.151489696,199.762998448,0.611508752,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.773762146833732
32,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,32,41366,41494,14347652365646,14348264378214,199.768606814,200.380619382,0.612012568,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.119239406242713
33,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,33,41494,41622,14348269974561,14348883784571,200.386215729,201.000025739,0.61381001,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.373200329903472
34,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,34,41622,41750,14348887472383,14349500938597,201.003713551,201.617179765,0.613466214,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.13963498615147
35,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,35,41750,41878,14349504623465,14350118718752,201.620864633,202.23495992,0.614095287,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,29.472196777189193
36,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,36,41878,42006,14350122404879,14350736328815,202.238646047,202.852569983,0.613923936,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,26.646676929850543
37,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,37,42006,42134,14350740012146,14351353796545,202.856253314,203.470037713,0.613784399,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.860135974325342
38,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,38,42134,42262,14351359400855,14351971824440,203.475642023,204.088065608,0.612423585,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.000532664083188
39,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,39,42262,42390,14351975508160,14352590182373,204.091749328,204.706423541,0.614674213,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.95477488442345
40,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,40,42390,42518,14352594076370,14353206692325,204.710317538,205.322933493,0.612615955,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.220106426588487
41,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,41,42518,42646,14353212290099,14353825311276,205.328531267,205.941552444,0.613021177,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.565143879239407
42,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,42,42646,42774,14353828995959,14354442716247,205.945237127,206.558957415,0.613720288,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.260848690676713
43,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,43,42774,42902,14354448379131,14355061257197,206.564620299,207.177498365,0.612878066,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,29.363877408565845
44,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,44,42902,43030,14355064962269,14355679114427,207.181203437,207.795355595,0.614152158,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.82937958656837
45,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,45,43030,43158,14355682825961,14356295355805,207.799067129,208.411596973,0.612529844,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.763920097749153
46,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,46,43158,43286,14356300944986,14356914494496,208.417186154,209.030735664,0.61354951,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.413592068958973
47,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,47,43286,43414,14356918178549,14357532295615,209.034419717,209.648536783,0.614117066,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.344951874509906
48,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,48,43414,43542,14357535975093,14358149739807,209.652216261,210.265980975,0.613764714,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.665071276347668
49,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,49,43542,43670,14358153417582,14358767735184,210.26965875,210.883976352,0.614317602,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.096878727570605
50,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,50,43670,43798,14358771419904,14359385332877,210.887661072,211.501574045,0.613912973,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.29503467964976
51,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,51,43798,43926,14359389058874,14360002476884,211.505300042,212.118718052,0.61341801,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.3298102943614
52,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,52,43926,44054,14360008061991,14360620268669,212.124303159,212.736509837,0.612206678,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.259026747007407
53,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,53,44054,44182,14360623989592,14361237283677,212.74023076,213.353524845,0.613294085,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,27.248842189454646
54,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,54,44182,44310,14361242864561,14361855611109,213.359105729,213.971852277,0.612746548,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.83919915377413
55,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,55,44310,44438,14361861208253,14362473276209,213.977449421,214.589517377,0.612067956,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,29.80381110123673
56,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,56,44438,44566,14362478916538,14363091295957,214.595157706,215.207537125,0.612379419,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,30.36630938651805
57,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,57,44566,44694,14363094981157,14363709506537,215.211222325,215.825747705,0.61452538,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,28.717714014905525
